x,y,roadname,direction,meter,offset,mark
90810.616,393332.811,A58,R,71.860,13.908;3.217,SENSOR;SENSOR
90722.233,393349.791,A58,R,71.950,16.178,SENSOR
90656.523,393373.672,A58,R,72.020,10.053,ENTER
90074.889,393640.484,A58,R,72.660,3.459,SENSOR
88827.593,393870.082,A58,R,73.940,13.544;3.830,SENSOR;SENSOR
88380.055,393496.707,A58,R,74.750,14.152,SENSOR
88154.251,393051.438,A58,R,75.250,19.740,SENSOR
87918.591,392644.788,A58,R,75.720,7.685,SENSOR
87307.187,391724.929,A58,R,76.830,17.438,SENSOR
86905.551,391531.107,A58,R,77.280,18.864,SENSOR
86197.976,391485.938,A58,R,77.990,11.652,EXIT
86108.059,391482.199,A58,R,78.080,3.753,SENSOR
86078.070,391481.361,A58,R,78.110,11.698,ENTER
85928.117,391477.623,A58,R,78.260,18.800,SENSOR
85178.600,391451.013,A58,R,79.010,7.677,SENSOR
83819.317,391407.837,A58,R,80.370,4.671,SENSOR
83789.406,391405.526,A58,R,80.400,12.598,EXIT
83749.525,391402.444,A58,R,80.440,13.651;4.478,SENSOR;SENSOR
83669.781,391396.049,A58,R,80.520,12.844,ENTER
83630.010,391391.988,A58,R,80.560,5.385,SENSOR
83376.857,391334.599,A58,R,80.820,15.203,SENSOR
82443.798,391005.603,A58,R,81.810,12.501,SENSOR
81962.576,390869.874,A58,R,82.310,12.020,SENSOR
81575.915,390767.754,A58,R,82.710,6.871,SENSOR
80777.723,390583.125,A58,R,83.530,30.903,EXIT
80739.355,390571.817,A58,R,83.570,3.923,SENSOR
80534.826,390593.718,A58,R,83.820,5.333,SENSOR
80468.555,390502.861,A58,R,84.120,,END
78494.051,383274.202,A58,R,84.120,,BEGIN
78160.278,383169.085,A58,R,84.470,3.399,SENSOR
77071.656,382962.288,A58,R,85.580,14.149,SENSOR
76286.579,382874.270,A58,R,86.370,13.950,SENSOR
75093.743,382743.567,A58,R,87.570,6.971;6.971,SENSOR;SENSOR
74298.762,382654.229,A58,R,88.370,19.526;19.526,SENSOR;SENSOR
73218.840,382510.422,A58,R,89.460,13.732;13.732,SENSOR;SENSOR
72518.773,382393.592,A58,R,90.170,9.865;10.252,SENSOR;SENSOR
72072.208,382338.171,A58,R,90.620,11.117,EXIT
71523.150,382311.830,A58,R,91.170,6.375,SENSOR
71263.166,382314.512,A58,R,91.430,18.992,SENSOR
71013.374,382306.512,A58,R,91.680,11.010,ENTER
70336.925,382141.230,A58,R,92.380,19.338;19.338,SENSOR;SENSOR
68673.786,381942.447,A58,R,94.080,11.776;12.070,SENSOR;SENSOR
67835.362,381905.993,A58,R,94.920,18.797;18.797,SENSOR;SENSOR
64928.975,382467.532,A58,R,97.960,9.901;10.336,SENSOR;SENSOR
64195.207,383005.489,A58,R,98.870,19.443;19.443,SENSOR;SENSOR
63377.400,383754.702,A58,R,99.980,16.122,EXIT
63321.193,383811.630,A58,R,100.060,19.275,SENSOR
63314.171,383818.749,A58,R,100.070,18.709,SENSOR
63215.967,383918.529,A58,R,100.210,87.415;87.415,EXIT;EXIT
61873.174,385204.676,A58,R,102.070,13.208;13.208,SENSOR;SENSOR
61130.186,385873.820,A58,R,103.070,14.636;14.636,SENSOR;SENSOR
60610.668,386591.367,A58,R,103.960,17.303,SENSOR
60584.420,386633.923,A58,R,104.010,9.757,EXIT
60468.709,386796.922,A58,R,104.210,11.858,ENTER
57535.873,387240.300,A58,R,107.320,10.733,EXIT
57436.755,387227.058,A58,R,107.420,5.474,SENSOR
54576.219,388326.321,A58,R,110.540,10.071,EXIT
54011.973,388530.164,A58,R,111.140,16.462,SENSOR
53935.584,388553.926,A58,R,111.220,4.775,SENSOR
53887.885,388568.921,A58,R,111.270,11.340,ENTER
48424.434,389556.259,A58,R,116.830,16.341;16.341,SENSOR;SENSOR
47380.685,389659.470,A58,R,117.880,13.216;13.216,SENSOR;SENSOR
45046.067,389621.108,A58,R,120.260,13.164;12.981,SENSOR;SENSOR
44428.119,390056.421,A58,R,121.020,18.275,SENSOR
44420.799,390063.234,A58,R,121.030,10.049,EXIT
44354.838,390124.465,A58,R,121.120,17.072;17.072,SENSOR;SENSOR
44281.628,390192.584,A58,R,121.220,8.931,ENTER
43606.560,390801.969,A58,R,122.130,10.858;10.858,SENSOR;SENSOR
42700.236,391180.873,A58,R,123.120,18.007;18.007,SENSOR;SENSOR
41604.794,391353.154,A58,R,124.230,15.700;15.700,SENSOR;SENSOR
40709.091,391440.276,A58,R,125.130,14.590;14.590,SENSOR;SENSOR
38850.101,391761.399,A58,R,127.020,19.550;3.011,SENSOR;SENSOR
37942.306,391824.594,A58,R,127.930,5.143;5.143,SENSOR;SENSOR
36963.806,391722.530,A58,R,128.930,12.315;12.315,SENSOR;SENSOR
36384.178,391248.586,A58,R,129.680,19.641,SENSOR
36354.944,391221.284,A58,R,129.720,14.841,EXIT
36255.141,391138.030,A58,R,129.850,9.322,ENTER
35582.247,390555.544,A58,R,130.740,5.355;5.355,SENSOR;SENSOR
34911.102,389971.089,A58,R,131.630,11.058;11.058,SENSOR;SENSOR
34695.189,389735.252,A58,R,131.950,14.194,SENSOR
34531.165,389546.716,A58,R,132.200,3.601,SENSOR
34267.130,389351.613,A58,R,132.530,17.582,SENSOR
34175.734,389311.062,A58,R,132.630,2.935,SENSOR
33793.224,389163.478,A58,R,133.040,18.895,SENSOR
33728.251,389137.431,A58,R,133.110,9.013,EXIT
33420.362,389018.685,A58,R,133.440,10.877,ENTER
33401.489,389012.065,A58,R,133.460,10.881,SENSOR
32459.813,388647.074,A58,R,134.470,9.827;9.827,SENSOR;SENSOR
