x	y	roadname	direction	meter	mark
156924.758	388418.809	A2	R	109.060	LUS
156858.972	388394.887	A2	R	109.130	LUS
156571.690	388309.955	A2	R	109.430	LUS
156298.871	388194.821	A2	R	109.730	LUS
156155.135	388021.651	A2	R	109.960	LUS
156090.743	387745.100	A2	R	110.250	LUS
156129.274	387457.903	A2	R	110.540	LUS
156180.820	387071.353	A2	R	110.930	LUS, LUS, LUS, LUS
156214.278	386702.934	A2	R	111.300	LUS
156265.117	386387.075	A2	R	111.620	LUS
156284.770	386289.045	A2	R	111.720	LUS
156373.715	385961.180	A2	R	112.060	AFRIT
156382.946	385932.635	A2	R	112.090	LUS
156421.591	385829.719	A2	R	112.200	LUS
156457.423	385747.232	A2	R	112.290	OPRIT
156484.639	385693.760	A2	R	112.350	LUS
156563.844	385543.455	A2	R	112.520	LUS
156657.440	385401.635	A2	R	112.690	LUS
156789.973	385238.971	A2	R	112.900	LUS
156975.144	385056.599	A2	R	113.160	LUS
156982.782	385050.144	A2	R	113.170	LUS
157310.224	384821.690	A2	R	113.570	LUS
157344.668	384801.353	A2	R	113.610	LUS
157586.077	384624.035	A2	R	113.910	LUS, LUS, LUS
157787.770	384190.317	A2	R	114.400	LUS
157759.672	383713.165	A2	R	114.880	LUS
157757.204	383693.318	A2	R	114.900	LUS
157725.380	383425.202	A2	R	115.170	AFRIT
157708.013	383276.211	A2	R	115.320	LUS
157698.751	383196.749	A2	R	115.400	LUS
157695.105	383146.992	A2	R	115.450	OPRIT
157712.292	382857.942	A2	R	115.740	LUS
157725.091	382778.973	A2	R	115.820	LUS
157797.226	382264.187	A2	R	116.340	LUS
157814.140	382064.904	A2	R	116.540	LUS
157827.798	381895.454	A2	R	116.710	LUS
157846.028	381666.177	A2	R	116.940	LUS
157858.849	381506.692	A2	R	117.100	LUS
157878.079	381267.463	A2	R	117.340	LUS
157882.816	381207.651	A2	R	117.400	AFRIT
157889.888	381117.929	A2	R	117.490	LUS
157920.205	380729.109	A2	R	117.880	LUS
