x	y	roadname	direction	meter	mark
144798.571	392178.129	A58	L	124.100	LOOP
144807.525	392173.678	A58	L	124.110	LOOP
145434.530	391862.447	A58	L	124.810	LOOP, LOOP, LOOP
145443.488	391858.003	A58	L	124.820	LOOP, LOOP, LOOP
145864.283	391648.642	A58	L	125.290	LOOP
145873.228	391644.172	A58	L	125.300	LOOP
146454.672	391353.616	A58	L	125.950	LOOP
146463.617	391349.146	A58	L	125.960	LOOP
146996.485	391095.983	A58	L	126.550	LOOP
147059.971	391066.494	A58	L	126.620	LOOP
147069.036	391062.274	A58	L	126.630	LOOP
147539.607	390840.997	A58	L	127.150	LOOP, LOOP
148037.325	390606.953	A58	L	127.700	LOOP, LOOP
148663.060	390186.511	A58	L	128.460	LOOP, LOOP, LOOP
148670.148	390179.456	A58	L	128.470	LOOP, LOOP, LOOP
149105.690	389724.784	A58	L	129.100	LOOP, LOOP
149335.691	389550.005	A58	L	129.390	AFRIT
149530.031	389447.969	A58	L	129.610	LOOP, LOOP, LOOP
149643.227	389408.135	A58	L	129.730	LOOP, LOOP, LOOP
149816.562	389361.435	A58	L	129.910	OPRIT
149925.061	389343.323	A58	L	130.020	LOOP
150243.949	389323.620	A58	L	130.340	LOOP
150253.947	389323.417	A58	L	130.350	LOOP
150803.811	389311.249	A58	L	130.900	LOOP
151473.633	389295.859	A58	L	131.570	LOOP
151503.626	389295.221	A58	L	131.600	LOOP
152113.423	389279.502	A58	L	132.210	LOOP
152123.419	389279.232	A58	L	132.220	LOOP
152822.118	389244.861	A58	L	132.920	LOOP
153442.908	389094.809	A58	L	133.560	LOOP
154057.559	388883.375	A58	L	134.210	LOOP, LOOP, LOOP
154520.306	388722.242	A58	L	134.700	LOOP
154529.744	388718.937	A58	L	134.710	LOOP
154878.918	388596.557	A58	L	135.080	AFRIT
155001.666	388553.743	A58	L	135.210	OPRIT
155115.073	388514.518	A58	L	135.330	LOOP
155256.995	388465.958	A58	L	135.480	LOOP
155511.475	388375.768	A58	L	135.750	LOOP, LOOP, LOOP, LOOP
155780.994	388225.727	A58	L	136.060	LOOP, LOOP, LOOP
156034.371	387762.695	A58	L	136.600	LOOP, LOOP
156086.426	387457.233	A58	L	136.910	LOOP, LOOP
156172.364	387138.800	A58	L	137.240	EIND
